번호,병원명,주소,담당의,대표전화,위도,경도
57,삼성맘편한신경과의원,제주특별자치도 서귀포시 중앙로 113 서귀포메디컬센터 2층,박환석,064-733-9119,33.255007,126.560439
56,삼성서울병원,서울 강남구 일원로 81 -,주은연,02-3410-1403,37.488832,127.085961
55,삼성스마트김석재신경과의원,충남 천안시 서북구 불당21로 67-8 503호,"김석재, 김치헌",041-417-7507,36.813559,127.108287
54,서울대학교병원,서울 종로구 대학로 101 신경과,정기영,02-2072-3276,37.579943,126.998978
53,서울브레인신경과의원,서울 강남구 논현로159길 17 삼화빌딩 301호,이일근,02-541-8275,37.523108,127.026546
52,서울삼성신경과의원,경남 창원시 의창구 중동중앙로 83 디세븐파크 512호,한석근,055-713-6387,35.347974,128.64986
51,서울스페셜수면의원,서울 강남구 논현동 34-21,한진규,02-543-0089,37.5161,127.029502
50,서울아산병원,서울 송파구 올림픽로 43길 88 서울아산병원,"구용서, 김효재",1688-7575,37.526792,127.108079
49,서울의료원,서울 중랑구 신내로 156 서울의료원,김혜윤 (신경과 과장),02-2276-7000,37.613027,127.098136
48,서울호호신경과의원,"서울 강동구 고덕비즈밸리로 38 KS한국고용정보강동사옥 2층 201호, 204호",윤호상,02-441-1190,37.566119,127.159701
47,성균관대학교 삼성창원병원,경남 창원시 마산회원구 팔용로 158 삼성창원병원 별관 6층 수면센터,"김지윤, 김도형, 이소영, 최우리, 권경원",055-233-8899,35.242422,128.592496
46,성심의료재단 강동성심병원,"서울특별시 강동구 성안로 150 (길동, 강동성심병원)",이주헌,1588-4100,37.536279,127.135329
45,세란병원,서울 종로구 통일로 256 세란병원,"김진희, 이한상, 손성연, 윤승재",1577-1987,37.575365,126.957539
44,세브란스병원,"서울특별시 서대문구 연세로 50-1 (신촌동, 연세의료원)","주민경, 김경민, 조수미, 하우석",-,37.56255,126.940775
43,세브란스병원치과,서울 서대문구 신촌동 연세대학교,김성택,02-2228-1002,37.563204,126.941663
42,세종충남대학교병원,세종특별자치시 보듬7로 20 세종충남대학교병원 신경과,"이은경, 김재림",1800–3114,36.519764,127.258084
41,수원 윌스기념병원,경기 수원시 팔달구 경수대로 437,박건우,1577-8382,37.265165,127.025485
40,순천향대학교 부천병원,경기 부천시 조마루로 170 .,"문혜진, 윤지은",032-290-3198,37.49847,126.762741
39,순천향대학교 천안병원,충남 천안시 동남구 순천향6길 31 순천향대 천안병원,"양광익, 임지원",041-570-2198,36.80361,127.136921
38,신림신경과,"서울 관악구 신림로 350 5층, 신림신경과",강석재,02-875-9992,37.485544,126.930032
37,아주대학교병원,경기 수원시 영통구 월드컵로 164 -,"김태준, 정재욱",1688-6114,37.279404,127.047547
36,양산부산대학교병원,경남 양산시 물금읍 금오로 20 양산부산대학교병원,조재욱,1577-7512,35.327308,129.007594
35,에이스신경과의원,"서울 송파구 송파대로 437 5층(석촌동, 덕일빌딩)",강중구,02-422-1145,37.505706,127.106343
34,연세퍼스티어내과신경과,서울 중구 세종대로 23 창화빌딩 4층,"김혜인, 김성배",02-777-7555,37.559299,126.973819
33,용인세브란스병원,경기 용인시 기흥구 동백죽전대로 363 용인세브란스병원,"이원우, 염정연",1899-1004,37.271043,127.147016
32,울산대학교병원,울산 동구 대학병원로 25 울산대학교병원,"이현조, 이은미",052-250-7000,35.520107,129.429003
31,원광대학교 산본병원,경기 군포시 산본로 321 원광대학교 산본병원,한선정,031-390-2300,37.359578,126.933674
30,원광대학교병원,전북특별자치도 익산시 무왕로 895,정진성,-,35.968115,126.958074
29,원주세브란스기독병원,강원 원주시 일산로 20 .,황희원,033-741-0114,37.348318,127.945291
28,유성선병원,대전 유성구 북유성대로 93 .,조성래,1588-7011,36.375316,127.324964
27,의정부을지대학교병원,경기 의정부시 동일로 712 의정부을지대학교병원,장기문,.,37.752893,127.052049
26,이대목동병원,서울 양천구 목6동 이화여대목동병원,"이향운, 황성은",1666-5000,37.536609,126.88647
25,이대서울병원,서울 강서구 공항대로 260 .,"김지현, 조현진, 김동엽",1522-7000,37.557826,126.836224
24,인제대학교 부산백병원,부산 부산진구 복지로 75 .,"지기환, 강미리",051-890-6114,35.146198,129.020848
23,인제대학교 일산백병원,"경기도 고양시 일산서구 주화로 170 (대화동, 인제대학교일산백병원)","배희원, 송파멜라",031-910-7000,37.674492,126.750372
22,인제대학교 해운대백병원,부산 해운대구 해운대로 875 인제대학교 해운대백병원,"박강민, 이동아",051-797-3500,35.17374,129.18242
21,인하대병원,인천 중구 신흥동3가 인하대학병원,"최성혜, 박희권, 신용우",1600-8114,37.459058,126.63409
20,일산복음병원,경기 고양시 일산동구 고양대로 760 .,최경호,031-977-5000,37.682118,126.780061
19,일산브레인신경과의원,"경기 고양시 덕양구 화정로 47 동원텔, 4층 402-1호 (화정역 3번 출구)",한현정,031-962-7582,37.635418,126.831392
18,전남대학교병원,광주 동구 학동 전남대학교병원,"강경욱, 김현수",061-724-5577,35.141928,126.922005
17,전북대학교병원,전북 전주시 덕진구 건지로 20 .,류한욱,1577-7877,35.847199,127.140733
16,젊은신경과의원,경기도 안산시 단원구 광덕대로 138 골든에이스프라자 3층,이지영,031-483-7075,37.308689,126.830401
15,제주대학교병원,제주특별자치도 제주시 아란13길 15 .,오정환,064-717-1114,33.467391,126.545534
14,조선대학교병원,광주 동구 서석동 조선대학교병원,김후원,1811-7474-,35.139038,126.926132
13,중앙대학교병원 (서울),서울특별시 동작구 흑석동 224-7,"한수현, 이설아",02-1800-1114,37.507613,126.960247
12,창원경상국립대학교병원,경남 창원시 성산구 삼정자로 11 .,"양태원 (현재 해외파견중, 2025년)",055-214-1000,35.199687,128.707563
11,충남대학교병원,대전 중구 문화로 282 .,"김대영, 이완균",1599-7123,36.317118,127.416209
10,충북대학교병원,충북 청주시 서원구 1순환로 776(개신동),이성현,043-269-6196,36.624468,127.461494
9,칠곡경북대학교병원,대구 북구 호국로 807 .,"이호원, 전지예",1666-0114-,35.95633,128.565393
8,하사랑신경과의원,경남 창원시 마산회원구 3.15대로 727 합성동 미래메디컬 3층,김경원,055-247-3031,35.237448,128.581316
7,한림대학교 강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",전진선,1577-5587,37.493047,126.908593
6,한림대학교 동탄성심병원,경기 화성시 큰재봉길 7 .,"김주용, 임희진, 홍유하",1522-2500,37.216799,127.080045
5,한림대학교 성심병원 (평촌),경기 안양시 동안구 관평로170번길 22 한림대학교 성심병원 (평촌),마효일,031-380-1500,37.391769,126.961786
4,해피뷰병원,광주 북구 경열로 216 .,민성현,062-519-9182,35.158787,126.906671
3,헤븐리병원,경기 고양시 일산동구 중산로 117 신경과,"이은아, 진선임, 최나리, 이승철, 조재욱",031-922-8822,37.68276,126.78099
2,현신경과의원,부산 연제구 중앙대로 1098 한진에셋빌딩 4층 현신경과의원,김현우,051-868-0111,35.185341,129.081557
1,황인용신경과,전남 순천시 이수로 321 노엘빌딩 6층,고석민,061-724-5577,34.9543,127.51897
